"","Project","DeploymentID","Site","Cruise","Status","Platform","Region","Type","Instrument_ID","GPS_Tracker","GPS_ID","GPS_Timing","Depth_Sensor","Deployment_Latitude","Deployment_Longitude","Deployment_Date","Deployment_Depth_m
","Deploy_Vessel","Recovery_Date","Recovery_Latitude","Recovery_Longitude","Retrieve_Vessel","Array_name","Number_of_Sensors","ChannelNumber_1","SensorNumber_1","ChannelNumber_2","SensorNumber_2","Data_Start","Data_End","RecordingDuration_m","RecordingInterval_m","SampleRate_kHz","Quality_Analyst","Quality_Category","Quality_LowFreq","Quality_HighFreq","Data_ID","Pressure","Acceleration","Temperature","Known Takes","SanctuaryPermit","Personnel","Notes","DutyCycle","DeployDuration_days","RecordDuration_hrs"
"31","ADRIFT",31,"HUM","Scrimshaw","Complete","drift","WCoastUSA","ST4300HF","5984","SPOT","J/L","30/60","16396",41.13133,-124.6411,2022-07-28 16:45:00,100,"F/V Scrimshaw",2022-08-01 21:30:00,41.08246,-125.01656,"F/V Scrimshaw","C02_9299",2,1,856155,2,"856166",2022-07-28 18:59:58,2022-08-01 08:52:13,"Continuous",NA,384,"Cory Hom-Weaver","good",50,192000,"ADRIFT_031","No","10","10",NA,NA,"Blair Winnacott",NA,"Continuous",4.19791666666667,85.8708333333333
"32","ADRIFT",32,"HUM","THL","Complete","drift","WCoastUSA","ST4300HF","5987","Solar","SO-001","30","16396",41.05022,-124.5336,2022-09-13 05:24:00,100,"R/V Coral Sea",2022-09-15 18:07:00,41.35018,-124.54007,"F/V Scrimshaw","C02_9299",2,1,856155,2,"856166",2022-09-13 06:59:57,2022-09-15 18:14:45,"Continuous",NA,384,"Cory Hom-Weaver","good",30,192000,"ADRIFT_032","No","10","10",NA,NA,"Blair Winnacott","earthquake!","Continuous",2.52986111111111,59.2466666666667
"33","ADRIFT",33,"HUM","THL","Complete","drift","WCoastUSA","ST4300HF","5984","Solar","SO-798","30","15865",41.05015,-124.4334,2022-09-13 04:26:00,100,"R/V Coral Sea",2022-09-15 17:35:00,41.45931,-124.44917,"F/V Scrimshaw","D02_9299",2,1,856162,2,"856168",2022-09-13 04:44:57,2022-09-15 17:29:45,"Continuous",NA,384,"Cory Hom-Weaver","compromised",250,192000,"ADRIFT_033","No","10","10",NA,NA,"Blair Winnacott","persistent knocking (<2kHz), Tons of sperm whales","Continuous",2.54791666666667,60.7466666666667
"34","ADRIFT",34,"SFB","ACCESS","Complete","drift","WCoastUSA","ST640","6668","SPOT and solar gps","F/G/SO-082","30","16528",38.047517,-123.561683,2022-09-27 17:43:00,100,"R/V Fulmar",2022-10-01 16:45:00,38.33218,-123.45027,"R/V Fulmar","K02_9299",2,1,856154,2,"856170",2022-09-27 18:37:14,2022-10-01 15:59:35,"Continuous",NA,384,"Cory Hom-Weaver","good",50,192000,"ADRIFT_034","No","10",NA,NA,"GFNMS / CBNMS","Jan Roletto, Dani Lipske","Tons of singing humpbacks","Continuous",3.95972222222222,93.3725
"35","ADRIFT",35,"SFB","ACCESS","Unusable","drift","WCoastUSA","ST640","6671","SPOT and solar gps","K/AF/SO-506","30","15801",38.130383,-123.530033,2022-09-26 17:55:00,100,"R/V Fulmar",2022-10-01 18:00:00,38.04729,-123.41403,"R/V Fulmar","N01_92NA96",2,1,856117,2,"856118",NA,NA,"Continuous",NA,384,"Kourtney Burger","unusable",NA,NA,"ADRIFT_035","No","10",NA,NA,"CBNMS","Jan Roletto, Dani Lipske","appears to have grounded on Cordell bank around 23:30 September 30; recorder never turned on","Continuous",5.00347222222222,NA
"36","ADRIFT",36,"HUM","Scrimshaw","Complete","drift","WCoastUSA","ST4300HF","5984","Solar","SO-638","30","15865",41.05025,-124.43292,2022-11-16 17:00:00,100,"F/V Scrimshaw",2022-11-21 17:49:00,40.93095,-124.34114,"F/V Scrimshaw","C02_9299",2,1,856155,2,"856166",2022-11-16 19:14:57,2022-11-20 07:37:12,"Continuous",NA,384,"Cory Hom-Weaver","good",50,192000,"ADRIFT_036","No",NA,NA,NA,NA,"Roxanne Robertson, Eric Bjorkstedt",NA,"Continuous",5.03402777777778,84.3708333333333
"37","ADRIFT",37,"HUM","Scrimshaw","Complete","drift","WCoastUSA","ST4300STD","8025","Solar","SO-798","30","16396",41.05077,-124.5109,2022-11-16 17:00:00,100,"F/V Scrimshaw",2022-11-21 18:18:00,41.01446,-124.40581,"F/V Scrimshaw","D02_9299",2,1,856162,2,"856168",2022-11-16 18:59:58,2022-11-21 10:59:46,"Continuous",NA,288,"Cory Hom-Weaver","good",30,192000,"ADRIFT_037","No",NA,NA,NA,NA,"Roxanne Robertson, Eric Bjorkstedt","Tons of singing humpbacks","Continuous",5.05416666666667,111.996666666667
"38","ADRIFT",38,"HUM","Scrimshaw","Complete","drift","WCoastUSA","ST4300HF","5987","Solar","SO-001","30","15518",41.05112,-124.58429,2022-11-16 17:00:00,100,"F/V Scrimshaw",2022-11-21 18:08:00,40.99065,-124.41114,"F/V Scrimshaw","G02_9299",2,1,856161,2,"856176",2022-11-16 19:14:57,2022-11-20 03:29:42,"Continuous",NA,384,"Cory Hom-Weaver","good",50,192000,"ADRIFT_038","No",NA,NA,NA,NA,"Roxanne Robertson, Eric Bjorkstedt",NA,"Continuous",5.04722222222222,80.2458333333333
"39","ADRIFT",39,"HUM","Scrimshaw","Complete","drift","WCoastUSA","ST4300HF","5984","Solar","SO-638","30","15865",40.8114,-124.4739,2022-12-13 21:19:00,100,"F/V Scrimshaw",2022-12-16 20:27:00,40.7025,-124.54954,"F/V Scrimshaw","C02_9299",2,1,856155,2,"856166",2022-12-13 21:29:57,2022-12-16 20:22:14,"Continuous",NA,384,"Cory Hom-Weaver","compromised",1000,192000,"ADRIFT_039","No",NA,NA,NA,NA,"Eric Bjorkstedt","Noise under 1kHz throughout most of the deployment","Continuous",2.96388888888889,70.8713888888889
"40","ADRIFT",40,"HUM","Scrimshaw","Complete","drift","WCoastUSA","ST4300STD","8025","Solar","SO-798","30","16396",40.8114,-124.5438,2022-12-13 21:35:00,100,"F/V Scrimshaw",2022-12-16 21:14:00,40.82093,-124.73885,"F/V Scrimshaw","D02_9299",2,1,856162,2,"856168",2022-12-13 21:29:57,2022-12-16 21:29:50,"Continuous",NA,288,"Cory Hom-Weaver","good",250,192000,"ADRIFT_040","No",NA,NA,NA,NA,"Eric Bjorkstedt","Lots of dolphins and knocking in LF","Continuous",2.98541666666667,71.9980555555556
