"UTC","species","call","DriftName"
2021-08-24 18:00:00,"Bm","A","ADRIFT_001"
2021-08-24 18:00:00,"Bm","B","ADRIFT_001"
2021-08-24 18:00:00,"Mn","Song","ADRIFT_001"
2021-08-24 18:00:00,"Mn","Social","ADRIFT_001"
2021-08-24 19:00:00,"Mn","unidentified","ADRIFT_001"
2021-08-24 19:00:00,"Bm","B","ADRIFT_001"
2021-08-24 19:00:00,"Bm","A","ADRIFT_001"
2021-08-24 19:00:00,"Mn","Song","ADRIFT_001"
2021-08-24 20:00:00,"Mn","Song","ADRIFT_001"
2021-08-24 20:00:00,"Bm","A","ADRIFT_001"
2021-08-24 20:00:00,"Bm","B","ADRIFT_001"
2021-08-24 20:00:00,"Mn","Social","ADRIFT_001"
2021-08-24 20:00:00,"Mn","unidentified","ADRIFT_001"
2021-08-24 21:00:00,"Bm","A","ADRIFT_001"
2021-08-24 21:00:00,"Bm","B","ADRIFT_001"
2021-08-24 21:00:00,"Mn","Song","ADRIFT_001"
2021-08-24 22:00:00,"Mn","Social","ADRIFT_001"
2021-08-24 22:00:00,"Mn","Song","ADRIFT_001"
2021-08-24 22:00:00,"Mn","unidentified","ADRIFT_001"
2021-08-24 22:00:00,"Bm","B","ADRIFT_001"
2021-08-24 23:00:00,"Mn","unidentified","ADRIFT_001"
2021-08-24 23:00:00,"Bm","A","ADRIFT_001"
2021-08-24 23:00:00,"Bm","B","ADRIFT_001"
2021-08-24 23:00:00,"Mn","Song","ADRIFT_001"
2021-08-24 23:00:00,"Mn","Social","ADRIFT_001"
2021-08-25,"Mn","unidentified","ADRIFT_001"
2021-08-25,"Mn","Social","ADRIFT_001"
2021-08-25,"Bm","A","ADRIFT_001"
2021-08-25,"Bm","B","ADRIFT_001"
2021-08-25,"Bm","D","ADRIFT_001"
2021-08-25,"Mn","Song","ADRIFT_001"
2021-08-25 01:00:00,"Mn","Social","ADRIFT_001"
2021-08-25 01:00:00,"Bm","A","ADRIFT_001"
2021-08-25 01:00:00,"Bm","B","ADRIFT_001"
2021-08-25 01:00:00,"Bm","D","ADRIFT_001"
2021-08-25 01:00:00,"Mn","Song","ADRIFT_001"
2021-08-25 02:00:00,"Mn","Social","ADRIFT_001"
2021-08-25 02:00:00,"Mn","unidentified","ADRIFT_001"
2021-08-25 02:00:00,"Bm","A","ADRIFT_001"
2021-08-25 02:00:00,"Bm","B","ADRIFT_001"
2021-08-25 02:00:00,"Mn","Song","ADRIFT_001"
2021-08-25 03:00:00,"Mn","unidentified","ADRIFT_001"
2021-08-25 03:00:00,"Bm","A","ADRIFT_001"
2021-08-25 03:00:00,"Bm","B","ADRIFT_001"
2021-08-25 03:00:00,"Mn","Song","ADRIFT_001"
2021-08-25 04:00:00,"Bm","D","ADRIFT_001"
2021-08-25 04:00:00,"Bm","A","ADRIFT_001"
2021-08-25 04:00:00,"Bm","B","ADRIFT_001"
2021-08-25 05:00:00,"Bm","D","ADRIFT_001"
2021-08-25 05:00:00,"Bm","A","ADRIFT_001"
2021-08-25 05:00:00,"Bm","B","ADRIFT_001"
2021-08-25 05:00:00,"Mn","unidentified","ADRIFT_001"
2021-08-25 06:00:00,"Bm","A","ADRIFT_001"
2021-08-25 06:00:00,"Bm","B","ADRIFT_001"
2021-08-25 06:00:00,"Mn","unidentified","ADRIFT_001"
2021-08-25 07:00:00,"Bm","B","ADRIFT_001"
2021-08-25 07:00:00,"Bm","A","ADRIFT_001"
2021-08-25 08:00:00,"Bm","A","ADRIFT_001"
2021-08-25 08:00:00,"Bm","B","ADRIFT_001"
2021-08-25 09:00:00,"Bm","A","ADRIFT_001"
2021-08-25 10:00:00,"Bm","A","ADRIFT_001"
2021-08-25 10:00:00,"Bm","B","ADRIFT_001"
2021-08-25 11:00:00,"Bm","A","ADRIFT_001"
2021-08-25 11:00:00,"Bm","B","ADRIFT_001"
2021-08-25 12:00:00,"Bm","A","ADRIFT_001"
2021-08-25 12:00:00,"Bm","B","ADRIFT_001"
2021-08-25 13:00:00,"Bm","B","ADRIFT_001"
2021-08-25 14:00:00,"Bm","B","ADRIFT_001"
2021-08-25 14:00:00,"Bm","A","ADRIFT_001"
2021-08-25 15:00:00,"Bm","B","ADRIFT_001"
2021-08-25 16:00:00,"Bm","D","ADRIFT_001"
2021-08-25 16:00:00,"Bm","A","ADRIFT_001"
2021-08-25 16:00:00,"Bm","B","ADRIFT_001"
2021-08-25 17:00:00,"Bm","B","ADRIFT_001"
2021-08-25 17:00:00,"Bm","A","ADRIFT_001"
2021-08-25 18:00:00,"Bm","B","ADRIFT_001"
2021-08-25 18:00:00,"Bm","A","ADRIFT_001"
2021-08-25 19:00:00,"Bm","B","ADRIFT_001"
2021-08-25 19:00:00,"Bm","A","ADRIFT_001"
2021-08-25 20:00:00,"Bm","D","ADRIFT_001"
2021-08-25 21:00:00,"Bm","A","ADRIFT_001"
2021-08-25 21:00:00,"Bm","B","ADRIFT_001"
2021-08-25 22:00:00,"Bm","B","ADRIFT_001"
2021-08-25 22:00:00,"Bm","A","ADRIFT_001"
2021-08-25 23:00:00,"Bm","A","ADRIFT_001"
2021-08-25 23:00:00,"Bm","D","ADRIFT_001"
2021-08-25 23:00:00,"Bm","B","ADRIFT_001"
2021-08-26,"Bm","A","ADRIFT_001"
2021-08-26,"Bm","B","ADRIFT_001"
2021-08-26 01:00:00,"Bm","A","ADRIFT_001"
2021-08-26 01:00:00,"Bm","B","ADRIFT_001"
2021-08-26 02:00:00,"Bm","B","ADRIFT_001"
2021-08-26 02:00:00,"Bm","A","ADRIFT_001"
2021-08-26 03:00:00,"Bm","A","ADRIFT_001"
2021-08-26 03:00:00,"Bm","B","ADRIFT_001"
2021-08-26 04:00:00,"Bm","A","ADRIFT_001"
2021-08-26 04:00:00,"Bm","B","ADRIFT_001"
2021-08-26 05:00:00,"Bm","B","ADRIFT_001"
2021-08-26 05:00:00,"Bm","A","ADRIFT_001"
2021-08-26 06:00:00,"Bm","B","ADRIFT_001"
2021-08-26 06:00:00,"Bm","A","ADRIFT_001"
2021-08-26 07:00:00,"Bm","B","ADRIFT_001"
2021-08-26 07:00:00,"Bm","A","ADRIFT_001"
2021-08-26 08:00:00,"Bm","A","ADRIFT_001"
2021-08-26 08:00:00,"Bm","B","ADRIFT_001"
2021-08-26 09:00:00,"Bm","B","ADRIFT_001"
2021-08-26 09:00:00,"Bm","A","ADRIFT_001"
2021-08-26 10:00:00,"Bm","A","ADRIFT_001"
2021-08-26 10:00:00,"Bm","B","ADRIFT_001"
2021-08-26 11:00:00,"Bm","B","ADRIFT_001"
2021-08-26 11:00:00,"Bm","A","ADRIFT_001"
2021-08-26 12:00:00,"Bp","20Hz","ADRIFT_001"
2021-08-26 12:00:00,"Bm","B","ADRIFT_001"
2021-08-26 12:00:00,"Bm","A","ADRIFT_001"
2021-08-26 13:00:00,"Bm","A","ADRIFT_001"
2021-08-26 13:00:00,"Bm","D","ADRIFT_001"
2021-08-26 13:00:00,"Bm","B","ADRIFT_001"
2021-08-26 14:00:00,"Bm","B","ADRIFT_001"
2021-08-26 14:00:00,"Bm","A","ADRIFT_001"
2021-08-26 15:00:00,"Bm","A","ADRIFT_001"
2021-08-26 15:00:00,"Bm","B","ADRIFT_001"
2021-08-26 16:00:00,"Bm","A","ADRIFT_001"
2021-08-26 16:00:00,"Bm","B","ADRIFT_001"
2021-08-26 17:00:00,"Bm","B","ADRIFT_001"
2021-08-26 18:00:00,"Bm","B","ADRIFT_001"
2021-08-26 18:00:00,"Bm","A","ADRIFT_001"
2021-08-26 19:00:00,"Bm","A","ADRIFT_001"
2021-08-26 19:00:00,"Bm","B","ADRIFT_001"
2021-08-26 20:00:00,"Bm","A","ADRIFT_001"
2021-08-26 20:00:00,"Bm","B","ADRIFT_001"
2021-08-26 21:00:00,"Bm","B","ADRIFT_001"
